Code,Notes,Course,Dur,Start Date, End Date, Type,Sec,Days,Time,Loc.,Inst.,Dept,CourseCode,
No courses are scheduled for this program.,No c,ourse,s are scheduled for this program.
1444101,OB,ACTG 0N01 ,D2,2016/Sep/07,2016/Dec/06,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N01, 
1445101,OB,ACTG 0N01 ,D3,2017/Jan/09,2017/Apr/07,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N01, 
1446101,OB,ACTG 0N02 ,D2,2016/Sep/07,2016/Dec/06,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N02, 
1447101,OB,ACTG 0N02 ,D3,2017/Jan/09,2017/Apr/07,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N02, 
1448101,OB,ACTG 0N03 ,D2,2016/Sep/07,2016/Dec/06,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N03, 
1449101,OB,ACTG 0N03 ,D3,2017/Jan/09,2017/Apr/07,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N03, 
1450101,OB,ACTG 0N04 ,D2,2016/Sep/07,2016/Dec/06,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N04, 
1451101,OB,ACTG 0N04 ,D3,2017/Jan/09,2017/Apr/07,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N04, 
1452101,OB,ACTG 0N05 ,D2,2016/Sep/07,2016/Dec/06,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N05, 
1453101,OB,ACTG 0N05 ,D3,2017/Jan/09,2017/Apr/07,PRO ,1,,Project Course,TBS,See Dept,ACTG, 0N05, 
1454101,OB,ACTG 0N90 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,W ,1700-1900,TH325,"Zhu,Julia",ACTG, 0N90, 
1455101,BB,ACTG 1P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,1, T R,930 -1100,TA203,"Roubi,Omar",ACTG, 1P11, 
1456102,BB,ACTG 1P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,2,M W ,1100-1230,TA203,"Zhang,Xia",ACTG, 1P11, 
1457103,BB,ACTG 1P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,3,M W ,1230-1400,TA203,"Zhang,Xia",ACTG, 1P11, 
1458104,BB,ACTG 1P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,4, T R,1700-1830,TH246,"Elayan,Fayez",ACTG, 1P11, 
1459105,BB,ACTG 1P11 ,D2,2016/Sep/07,2016/Dec/06,LEC,5,F ,1400-1530,AS217 ,"Zhang,Xia",ACTG, 1P11, 
0,BB,ACTG 1P11 ,D2,2016/Sep/07,2016/Dec/06,LEC2,5,W ,1530-1700,AS217 ,"Zhang,Xia",ACTG, 1P11, 
1462101,BB,ACTG 1P11 ,D3,2017/Jan/09,2017/Apr/07,LEC,1,M W ,930 -1100,AS201,"Kim,Sohyung",ACTG, 1P11, 
1463101,BB,ACTG 1P12 ,D3,2017/Jan/09,2017/Apr/07,LEC,1, T R,1400-1530,TH258,"Sohail,Tashfeen",ACTG, 1P12, 
